A man called Ove,Fredrik Backman
And every morning the way home gets longer and longer,Fredrik Backman
Black flags: the rise of ISIS,Joby Warrick
Why God won't go away,Andrew B. Newberg
The God of small things,Arundhati Roy
Sideways stories from wayside school,Louis Sachar
The witch of Portobello,Paulo Coelho
Atonement,Ian McEwan
And the mountains echoed,Khaled Hosseni
The girl who kicked the hornet's nest,Stieg Larsson
When I'm gone,Emily Bleeker
The elephant whisperer,Anthony Lawrence
